Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
1970.0,14 Jun 1970 - 12:00 ,Quarter-finals,Uruguay,1.0,0.0,Soviet Union
1970.0,17 Jun 1970 - 16:00 ,Semi-finals,Brazil,3.0,1.0,Uruguay
1970.0,17 June 1970 - 16:00 ,Semi-finals,Italy,4.0,3.0,Germany FR
1970.0,20 Jun 1970 - 16:00 ,Match for third place,Germany FR,1.0,0.0,Uruguay
1970.0,21 Jun 1970 - 12:00 ,Final,Brazil,4.0,1.0,Italy
1974.0,13 Jun 1974 - 17:00 ,Group 2,Brazil,0.0,0.0,Yugoslavia
1974.0,14 Jun 1974 - 16:00 ,Group 1,Germany FR,1.0,0.0,Chile
1974.0,14 Jun 1974 - 19:30 ,Group 1,German DR,2.0,0.0,Australia
1974.0,14 Jun 1974 - 19:30 ,Group 2,Zaire,0.0,2.0,Scotland
1974.0,15 Jun 1974 - 16:00 ,Group 3,Uruguay,0.0,2.0,Netherlands
1974.0,15 Jun 1974 - 16:00 ,Group 3,Sweden,0.0,0.0,Bulgaria
1974.0,15 Jun 1974 - 18:00 ,Group 4,Italy,3.0,1.0,Haiti
1974.0,15 Jun 1974 - 18:00 ,Group 4,Poland,3.0,2.0,Argentina
1974.0,18 Jun 1974 - 16:00 ,Group 1,Australia,0.0,3.0,Germany FR
1974.0,18 Jun 1974 - 19:30 ,Group 2,Scotland,0.0,0.0,Brazil
1974.0,18 Jun 1974 - 19:30 ,Group 1,Chile,1.0,1.0,German DR
1974.0,18 Jun 1974 - 19:30 ,Group 2,Yugoslavia,9.0,0.0,Zaire
1974.0,19 Jun 1974 - 19:30 ,Group 3,Netherlands,0.0,0.0,Sweden
1974.0,19 Jun 1974 - 19:30 ,Group 3,Bulgaria,1.0,1.0,Uruguay
1974.0,19 Jun 1974 - 19:30 ,Group 4,Haiti,0.0,7.0,Poland
1974.0,19 Jun 1974 - 19:30 ,Group 4,Argentina,1.0,1.0,Italy
1974.0,22 Jun 1974 - 16:00 ,Group 2,Scotland,1.0,1.0,Yugoslavia
1974.0,22 Jun 1974 - 16:00 ,Group 1,Australia,0.0,0.0,Chile
1974.0,22 Jun 1974 - 16:00 ,Group 2,Zaire,0.0,3.0,Brazil
1974.0,22 June 1974 - 19:30 ,Group 1,German DR,1.0,0.0,Germany FR
1974.0,23 Jun 1974 - 16:00 ,Group 3,Bulgaria,1.0,4.0,Netherlands
1974.0,23 Jun 1974 - 16:00 ,Group 4,Argentina,4.0,1.0,Haiti
1974.0,23 Jun 1974 - 16:00 ,Group 3,Sweden,3.0,0.0,Uruguay
1974.0,23 Jun 1974 - 16:00 ,Group 4,Poland,2.0,1.0,Italy
1974.0,26 Jun 1974 - 16:00 ,Group B,Yugoslavia,0.0,2.0,Germany FR
1974.0,26 Jun 1974 - 19:30 ,Group A,Brazil,1.0,0.0,German DR
1974.0,26 Jun 1974 - 19:30 ,Group A,Netherlands,4.0,0.0,Argentina
1974.0,26 Jun 1974 - 19:30 ,Group B,Sweden,0.0,1.0,Poland
1974.0,30 Jun 1974 - 16:00 ,Group A,Argentina,1.0,2.0,Brazil
1974.0,30 Jun 1974 - 16:00 ,Group B,Poland,2.0,1.0,Yugoslavia
1974.0,30 Jun 1974 - 16:00 ,Group A,German DR,0.0,2.0,Netherlands
1974.0,30 Jun 1974 - 19:30 ,Group B,Germany FR,4.0,2.0,Sweden
1974.0,03 Jul 1974 - 17:00 ,Group B,Poland,0.0,1.0,Germany FR
1974.0,03 Jul 1974 - 19:30 ,Group A,Netherlands,2.0,0.0,Brazil
